review_id,product_name,review_text,rating,review_date
43,数据分析平台,稳定，好用，界面设计清晰，操作简单，效率高。,5,2025-01-01
97,AI营销助手,价格高得离谱，客服差到极点，完全不推荐。,2,2025-01-02
111,AI营销助手,用了几天发现响应慢，而且界面复杂，真的不好用。,1,2025-01-06
17,智能客服系统,界面挺清晰的，但是有些高级功能需要额外付费，有点坑。,4,2025-01-06
76,数据分析平台,这个数据分析平台非常稳定，好用，数据展示清晰，效率高。,5,2025-01-07
87,AI营销助手,价格高得离谱，客服差到极点，完全不推荐。,3,2025-01-08
70,数据分析平台,非常满意，系统稳定，效率高，数据分析很清晰。,5,2025-01-08
84,AI营销助手,这个AI营销助手响应慢，操作太复杂了，不好用。,2,2025-01-08
62,数据分析平台,非常满意，系统稳定，效率高，数据分析很清晰。,5,2025-01-09
63,数据分析平台,稳定，好用，界面设计清晰，操作简单，效率高。,5,2025-01-10
98,AI营销助手,太复杂了，上手难度大，而且系统响应慢，经常卡顿。,2,2025-01-10
18,智能客服系统,中规中矩吧，好用是好用，就是价格稍微有点贵。,5,2025-01-11
15,智能客服系统,整体满意，稳定，就是上手需要一点时间。,4,2025-01-11
51,数据分析平台,效率高，系统运行稳定，界面清晰，非常推荐。,5,2025-01-11
77,数据分析平台,清晰的报表，稳定的系统，效率高，是目前用过最好的。,5,2025-01-12
5,智能客服系统,系统还行，功能比较全，但是偶尔会有小bug。,3,2025-01-12
110,AI营销助手,太复杂了，上手难度大，而且系统响应慢，经常卡顿。,2,2025-01-12
11,智能客服系统,中规中矩吧，好用是好用，就是价格稍微有点贵。,3,2025-01-14
49,数据分析平台,稳定，好用，界面设计清晰，操作简单，效率高。,5,2025-01-15
58,数据分析平台,效率高，系统运行稳定，界面清晰，非常推荐。,4,2025-01-16
90,AI营销助手,客服差，问个问题半天不回，产品价格高，性价比极低。,3,2025-01-16
99,AI营销助手,价格高得离谱，客服差到极点，完全不推荐。,3,2025-01-17
53,数据分析平台,好用，功能强大且稳定，大大提升了我们的工作效率。,5,2025-01-17
118,AI营销助手,不好用，功能堆砌，价格高，客服差，后悔买了。,1,2025-01-17
73,数据分析平台,稳定，好用，界面设计清晰，操作简单，效率高。,5,2025-01-18
31,智能客服系统,用了一段时间，感觉还行，效率提升了一些，但不多。,3,2025-01-19
46,数据分析平台,好用，功能强大且稳定，大大提升了我们的工作效率。,5,2025-01-20
83,AI营销助手,客服差，问个问题半天不回，产品价格高，性价比极低。,1,2025-01-20
10,智能客服系统,整体满意，稳定，就是上手需要一点时间。,3,2025-01-20
23,智能客服系统,界面挺清晰的，但是有些高级功能需要额外付费，有点坑。,4,2025-01-21
20,智能客服系统,用了一段时间，感觉还行，效率提升了一些，但不多。,4,2025-01-21
101,AI营销助手,太复杂了，上手难度大，而且系统响应慢，经常卡顿。,2,2025-01-21
80,数据分析平台,好用，稳定，效率高，客服也很专业。,5,2025-01-22
